moisture,time_stamp
73.47,15-Jul-2022 08:23:41
73.06,15-Jul-2022 08:43:38
72.65,15-Jul-2022 09:03:33
72.65,15-Jul-2022 09:23:28
72.65,15-Jul-2022 09:43:24
73.88,15-Jul-2022 10:23:13
74.29,15-Jul-2022 10:43:08
78.37,15-Jul-2022 11:03:03
83.27,15-Jul-2022 11:22:57
85.71,15-Jul-2022 11:42:52
82.45,15-Jul-2022 12:02:47
80.41,15-Jul-2022 12:22:42
79.18,15-Jul-2022 12:42:41
78.37,15-Jul-2022 13:02:38
77.14,15-Jul-2022 13:42:27
76.33,15-Jul-2022 14:22:19
75.92,15-Jul-2022 14:42:15
75.92,15-Jul-2022 15:02:11
75.92,15-Jul-2022 15:22:05
75.51,15-Jul-2022 15:42:01
75.51,15-Jul-2022 16:01:58
75.1,15-Jul-2022 16:21:55
75.1,15-Jul-2022 16:41:49
74.69,15-Jul-2022 17:01:42
74.29,15-Jul-2022 17:21:36
74.69,15-Jul-2022 17:41:31
74.29,15-Jul-2022 18:01:25
73.88,15-Jul-2022 18:41:14
73.88,15-Jul-2022 19:01:09
73.88,15-Jul-2022 19:21:03
75.92,15-Jul-2022 19:40:56
81.22,15-Jul-2022 20:00:51
84.08,15-Jul-2022 20:20:46
81.63,15-Jul-2022 20:40:42
79.59,15-Jul-2022 21:00:37
78.37,15-Jul-2022 21:20:32
78.37,15-Jul-2022 21:40:27
77.96,15-Jul-2022 22:00:21
77.55,15-Jul-2022 22:20:17
77.14,15-Jul-2022 22:40:13
76.33,15-Jul-2022 23:00:08
75.92,15-Jul-2022 23:20:03
75.92,15-Jul-2022 23:39:59
75.92,15-Jul-2022 23:59:54
75.1,16-Jul-2022 00:39:45
75.1,16-Jul-2022 00:59:42
74.69,16-Jul-2022 01:19:37
74.29,16-Jul-2022 01:39:31
74.29,16-Jul-2022 01:59:26
74.29,16-Jul-2022 02:19:21
74.69,16-Jul-2022 02:39:16
74.69,16-Jul-2022 02:59:11
75.1,16-Jul-2022 03:19:06
75.1,16-Jul-2022 03:39:01
74.69,16-Jul-2022 03:58:55
75.1,16-Jul-2022 04:18:50
74.69,16-Jul-2022 04:58:38
74.29,16-Jul-2022 05:18:34
74.29,16-Jul-2022 05:38:29
73.88,16-Jul-2022 05:58:23
73.88,16-Jul-2022 06:18:19
74.29,16-Jul-2022 06:38:14
73.88,16-Jul-2022 06:58:09
73.88,16-Jul-2022 07:18:04
73.88,16-Jul-2022 07:37:57
73.88,16-Jul-2022 07:57:54
73.47,16-Jul-2022 08:17:48
73.47,16-Jul-2022 08:37:42
73.47,16-Jul-2022 08:57:36
73.06,16-Jul-2022 09:17:32
73.47,16-Jul-2022 09:37:26
73.06,16-Jul-2022 09:57:20
73.06,16-Jul-2022 10:17:15
72.65,16-Jul-2022 10:37:08
72.65,16-Jul-2022 10:57:02
73.06,16-Jul-2022 11:16:58
72.65,16-Jul-2022 11:36:53
72.65,16-Jul-2022 11:56:48
72.24,16-Jul-2022 12:16:43
72.65,16-Jul-2022 12:36:37
72.24,16-Jul-2022 12:56:31
72.24,16-Jul-2022 13:16:25
72.24,16-Jul-2022 13:36:19
72.24,16-Jul-2022 13:56:13
72.24,16-Jul-2022 14:16:07
72.24,16-Jul-2022 14:36:01
72.65,16-Jul-2022 14:55:55
