relay,time_stamp
1,12-Jul-2022 21:44:31
0,12-Jul-2022 21:49:31
0,12-Jul-2022 21:54:31
0,12-Jul-2022 21:59:31
0,12-Jul-2022 22:04:31
0,12-Jul-2022 22:09:31
0,12-Jul-2022 22:14:31
0,12-Jul-2022 22:19:31
0,12-Jul-2022 22:24:31
0,12-Jul-2022 22:29:31
0,12-Jul-2022 22:34:31
0,12-Jul-2022 22:39:31
0,12-Jul-2022 22:44:31
0,12-Jul-2022 22:49:31
0,12-Jul-2022 22:54:31
0,12-Jul-2022 22:59:31
0,12-Jul-2022 23:04:31
0,12-Jul-2022 23:09:31
0,12-Jul-2022 23:14:31
0,12-Jul-2022 23:19:31
0,12-Jul-2022 23:24:31
0,12-Jul-2022 23:29:31
0,12-Jul-2022 23:34:31
0,12-Jul-2022 23:39:31
0,12-Jul-2022 23:44:31
0,12-Jul-2022 23:49:31
0,12-Jul-2022 23:54:31
0,12-Jul-2022 23:59:31
0,13-Jul-2022 00:04:31
0,13-Jul-2022 00:09:31
0,13-Jul-2022 00:14:31
0,13-Jul-2022 00:19:31
0,13-Jul-2022 00:24:31
0,13-Jul-2022 00:29:31
0,13-Jul-2022 00:34:31
0,13-Jul-2022 00:39:30
0,13-Jul-2022 00:44:31
0,13-Jul-2022 00:49:31
0,13-Jul-2022 00:54:31
0,13-Jul-2022 00:59:31
0,13-Jul-2022 01:04:31
0,13-Jul-2022 01:09:31
0,13-Jul-2022 01:14:31
0,13-Jul-2022 01:19:31
0,13-Jul-2022 01:24:31
0,13-Jul-2022 01:29:31
0,13-Jul-2022 01:34:31
0,13-Jul-2022 01:39:31
0,13-Jul-2022 01:44:31
0,13-Jul-2022 01:49:31
0,13-Jul-2022 01:54:31
0,13-Jul-2022 01:59:31
0,13-Jul-2022 02:04:31
0,13-Jul-2022 02:09:31
0,13-Jul-2022 02:14:31
0,13-Jul-2022 02:19:30
0,13-Jul-2022 02:24:30
0,13-Jul-2022 02:29:30
0,13-Jul-2022 02:34:30
0,13-Jul-2022 02:39:30
0,13-Jul-2022 02:44:30
0,13-Jul-2022 02:49:30
0,13-Jul-2022 02:54:30
0,13-Jul-2022 02:59:30
0,13-Jul-2022 03:04:30
0,13-Jul-2022 03:09:30
0,13-Jul-2022 03:14:30
0,13-Jul-2022 03:19:30
0,13-Jul-2022 03:24:30
0,13-Jul-2022 03:29:30
0,13-Jul-2022 03:34:30
0,13-Jul-2022 03:39:30
0,13-Jul-2022 03:44:30
0,13-Jul-2022 03:49:30
0,13-Jul-2022 03:54:30
0,13-Jul-2022 03:59:30
0,13-Jul-2022 04:04:30
0,13-Jul-2022 04:09:30
0,13-Jul-2022 04:14:30
0,13-Jul-2022 04:19:30
0,13-Jul-2022 04:24:30
0,13-Jul-2022 04:29:30
0,13-Jul-2022 04:34:30
0,13-Jul-2022 04:39:30
0,13-Jul-2022 04:44:30
