Timestamp,Soil Moisture (%),Temperature (C),Humidity (%),VPD (kPa),Wind Speed (km/h),Decision,Confidence (%),Reason,Duration (s)
2026-05-26 02:41:14,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:41:19,77.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 77.0%). No immediate watering needed.,0
2026-05-26 02:41:26,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:41:34,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:41:39,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:41:46,82.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 82.0%). No immediate watering needed.,0
2026-05-26 02:41:53,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:42:01,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:42:08,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:42:15,77.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 77.0%). No immediate watering needed.,0
2026-05-26 02:42:23,80.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 80.0%). No immediate watering needed.,0
2026-05-26 02:42:30,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:42:37,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:42:42,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:42:48,80.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 80.0%). No immediate watering needed.,0
2026-05-26 02:42:55,82.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 82.0%). No immediate watering needed.,0
2026-05-26 02:43:02,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:43:09,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:43:17,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
2026-05-26 02:43:24,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:43:31,78.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 78.0%). No immediate watering needed.,0
2026-05-26 02:43:36,79.0,17.8,59.0,0.0,11.8,MONITOR,100.0,Conditions optimal for Onion (Moisture: 79.0%). No immediate watering needed.,0
